A,B
1.6826727,2.9551706
1.6715658,2.963227
1.6718987,2.9137733
1.6707307,2.9655607
1.6807821,2.956149
1.6657078,2.9751835
1.672686,2.9166105
1.6969535,3.006594
1.6713138,2.950006
1.6810923,2.9311323
1.6684694,2.9581265
1.6868882,2.9382052
1.6813091,2.9808931
1.6777134,2.979118
1.6830986,2.9704728
1.6650728,2.9355893
1.6750371,2.9421086
1.6870238,2.9944866
1.6651593,2.948758
1.6748692,2.9225316
1.678423,2.9818213
1.6773496,2.9573448
1.668992,2.9384563
1.675416,2.9631028
1.6717724,2.9618013
1.6731327,2.9694815
1.6743194,2.9676905
1.654987,2.8934014
1.670715,2.9505641
1.6747369,2.9651644
1.6827737,3.0152352
1.6760678,2.9546783
1.6876435,2.9708438
1.6825752,2.979884
1.6655382,2.9600549
1.6639398,2.8903844
1.673069,2.9555633
1.6707766,2.9511466
1.6626065,2.9349499
1.6674054,2.9299414
1.673335,2.9299228
1.6658025,2.9838722
1.6703151,2.9825802
1.6723214,2.9579825
1.6765729,2.9569035
1.6758522,2.9686322
1.6803259,2.9592733
1.6688201,2.9663057
1.666208,2.951658
1.6673087,2.9228857
1.6705106,2.979766
1.6656758,2.9447088
1.6752564,2.964506
1.679858,2.9415753
1.6686534,2.9362113
1.671566,2.9601033
1.6584551,2.9394667
1.6738923,2.9571002
1.6816509,2.9949164
1.6662502,2.9577262
1.6738411,2.9697015
1.6739553,2.9360454
1.6806769,2.974294
1.6612599,2.940036
1.6804358,2.9357765
1.6514132,2.9137082
1.6826661,2.9236836
1.6670896,2.9348733
1.6663969,2.9604692
1.6843508,2.989782
1.6641289,2.9661436
1.6572134,2.8854368
1.6661814,2.9125545
1.6713924,2.9565191
1.660597,2.9267652
1.676684,2.9621084
1.6663787,2.930051
1.6796349,2.9537218
1.6767204,2.9381878
1.6789058,3.0003316
1.6650102,2.9335403
1.6692957,2.9045105
1.6738855,2.9755409
1.6693591,2.9605563
1.6672632,2.9617705
1.6763421,2.947776
1.6748391,3.0040488
1.6693283,2.98554
1.6613864,2.934519
1.6700093,2.9300673
1.6663568,2.964771
1.6621947,2.8983245
1.6621599,2.943908
1.6729624,2.992659
1.6764038,2.9520369
1.6676831,2.9256704
1.6640605,2.9718297
1.6879338,2.9811466
1.6656682,2.9230347
1.6763657,2.9784493
1.674687,2.9129686
1.6732291,2.91523
1.6646819,2.9681573
1.6631335,2.9617324
1.6771196,2.9358287
1.6706142,2.9410455
1.6725618,2.9460876
1.6555583,2.9297307
1.6657695,2.9242897
1.6546993,2.9268773
1.6721488,2.9387798
1.6585896,2.9395163
1.6695346,2.9390252
1.6684486,2.949298
1.6555407,2.9341366
1.6778643,2.9259849
1.6620383,2.9564307
1.6785543,2.9279048
1.6749226,2.947571
1.6887119,2.9612808
1.6683915,2.9243755
1.667025,2.967195
1.6625128,2.977145
1.6681775,2.9447947
1.6602625,2.9194477
1.6788824,2.9825022
1.677356,2.954266
1.672263,2.9858842
1.6793793,2.9833324
1.6735228,2.9674366
1.6673905,2.930479
1.665768,2.9740424
1.6554713,2.9813354
1.6781559,2.9628134
1.67179,3.005774
1.6747447,2.9851327
1.6721228,2.9310048
1.6651772,2.933312
1.6761037,2.9464982
1.6558442,2.9348738
1.6710321,2.9412878
1.6753124,2.941499
1.6395953,2.9278638
1.6638826,2.9358895
1.664743,2.9418685
1.6744722,2.9708776
1.6642946,2.9557843
1.6655469,2.9386265
1.6754992,2.9601464
1.6762459,2.9352155
1.669333,2.9619436
1.6804796,2.9890924
1.6758724,2.9773104
1.6711415,2.955753
1.6691481,2.9509423
1.6679014,2.9868114
1.6557922,2.9109359
1.6732947,2.9547074
1.6719772,2.98276
1.6610461,2.932591
1.65709,2.9283593
1.6703923,2.9533875
1.6631309,2.953091
1.678662,2.986318
1.6671177,2.9296558
1.6724905,2.9356506
1.6583215,2.9647992
1.6710739,2.9878066
1.6691334,2.9527307
1.6543851,2.899594
1.6787777,2.9357095
1.6750125,2.9492297
1.6674371,2.9644582
1.6708434,2.9462924
1.6726755,2.9121952
1.6678394,2.9384768
1.6587996,2.9157834
1.6731732,2.9605873
1.6833597,2.998234
1.6803342,2.9822357
1.6828991,2.9532468
1.6673563,2.963308
1.6797566,2.96209
1.691295,2.9909651
1.668656,2.938221
1.6737779,2.9704611
1.6622133,2.910252
1.6763903,2.9266295
1.6729519,2.960358
1.6885202,2.9762466
1.6725283,2.9450095
1.677908,2.9814234
1.6633855,2.957324
1.6750195,2.9680915
1.681821,2.9801617
1.6678191,2.9345753
1.6669368,2.8931763
1.6822362,2.9869976
1.6570553,2.9437065
1.6804903,2.9788408
1.6712257,2.9427998
1.6836059,2.956021
1.6749394,2.9529076
1.6821737,2.9665601
1.6630615,2.9617424
1.665302,2.9187675
1.6665077,2.9771845
1.6682266,2.967598
1.6516852,2.8794982
1.6593894,2.935877
1.655421,2.9274766
1.6494702,2.916406
1.6680948,2.9283912
1.6889354,3.0063255
1.6636388,2.9364572
1.6719424,2.9139504
1.679599,2.9917486
1.6793681,3.001821
1.6725551,2.9636974
1.6748707,2.9107635
1.6691928,2.9226542
1.6847547,2.9684346
1.6614224,2.9269788
1.6734811,2.9987683
1.6587847,2.9053988
1.6813359,2.9652061
1.6774567,2.9393613
1.6818271,2.956618
1.6761711,2.9716861
1.6711248,2.9538348
1.6739436,2.9812343
1.6723231,2.9813025
1.660437,2.933746
1.6759923,2.9942894
1.6652824,2.9289076
1.6807584,2.9673283
1.6727675,2.982935
1.6738244,2.9756737
1.6778599,2.969335
1.6885972,2.9724474
1.675241,2.95639
1.6741835,2.9704046
1.6715125,2.9709423
1.675622,2.9707534
1.6819917,2.9981546
1.6670585,2.9092324
1.6754093,2.9552724
1.674995,2.9269707
1.6816435,2.9570358
1.6703802,2.909097
1.6740301,2.9786675
1.6669995,2.9726536
1.6760198,2.9731216
1.6879562,2.9656367
1.6781598,2.9919631
1.6732957,2.954736
1.6792551,2.9621873
1.6771967,2.9154837
1.6717466,2.9661222
1.6748806,2.9214826
1.66595,2.9609213
1.6797389,2.9243648
1.6634005,2.9373214
1.6777916,2.9546423
1.6770296,2.9518166
1.6677793,2.9758315
1.68012,2.9926121
1.6782527,2.947782
1.6699653,2.9224308
1.6738796,2.984642
1.6717359,2.9752004
1.6601634,2.921121
1.6807768,2.98087
1.6725283,2.9355392
1.6849679,2.9534113
1.678989,2.9309785
1.6816063,2.9867446
1.6586967,2.958988
1.6863756,2.9786797
1.6513388,2.949898
1.674036,2.9509754
1.6612225,2.95363
1.6780742,2.9617515
1.6689595,2.943739
1.6767689,2.9720378
1.679962,2.8877609
1.6716152,2.9811528
1.6696815,2.9612916
1.673712,2.9340847
1.6746974,2.9802258
1.6748272,2.9487357
1.6664276,2.9461403
1.6768603,2.961617
1.6795847,2.9680634
1.6695558,2.9166658
1.6635476,2.972623
1.675289,2.9198256
1.6671538,2.980396
1.6822677,2.9592807
1.6855062,2.938139
1.6573952,2.9410875
1.6792693,2.9536786
1.6764381,2.9378068
1.6632111,2.9295053
1.6676222,2.9861763
1.6589752,2.9739068
1.6652998,2.9482167
1.6713163,2.9707441
1.668703,2.975094
1.6841041,2.9874344
1.6704708,2.963906
1.6673591,2.8778589
1.6811652,2.9977734
1.6727391,2.9643428
1.6749597,2.972668
1.6847101,2.9465218
1.6758491,2.901112
1.6842217,2.948132
1.6845721,2.9548488
1.6724976,2.9251897
1.6607482,2.9560733
1.6664083,2.9652922
1.666448,2.8890913
1.666155,2.933378
1.6611047,2.8817391
1.6666194,2.9350939
1.6648612,2.9383302
1.6719568,2.9477932
1.6825773,2.9454393
1.6625242,2.9322174
1.6720287,2.9252856
1.6626493,2.9818416
1.666121,2.9693792
1.6781571,2.9586506
1.6841866,2.995717
1.6777024,2.96529
1.6832548,2.9203522
1.6674345,2.9424808
1.6672391,2.9228728
1.6843486,2.912475
1.6823469,2.9867818
1.6757023,2.927109
1.6710926,2.9349728
1.6725711,2.947052
1.6766635,2.925552
1.674485,2.9426622
1.6776264,2.965768
1.6672691,2.9407659
1.6716193,2.990703
1.6828629,2.9829016
1.6754698,2.9504297
1.6484454,2.9588497
1.665389,2.9599657
1.6807485,2.974681
1.6653117,2.933081
1.6926379,2.9996853
1.6652648,2.9077067
1.668324,2.982077
1.6716858,2.9824305
1.6771873,2.941054
1.6786642,2.9821641
1.6754539,2.9542503
1.663164,2.9403784
1.6553366,2.9531744
1.6817274,2.9406195
1.6774566,2.9888332
1.6812743,2.9501457
1.6723461,2.9893818
1.6765584,2.959949
1.6703155,2.964011
1.686691,3.0224617
1.6813792,3.0044358
1.6758072,2.9766588
1.6748174,2.914695
1.6806285,2.9841604
1.6769595,2.9391897
1.6732361,2.9381385
1.6764016,2.9793777
1.666999,2.9049745
1.6785575,2.9611535
1.6868567,2.9344337
1.6779357,2.934778
1.6754282,2.9592645
1.6815642,2.9785542
1.6749051,2.9442325
1.6810333,2.971011
1.6547815,2.9306328
1.6613214,2.908493
1.677275,2.9579878
1.6721735,2.9476361
1.6816039,2.9923322
1.6767583,2.9956803
1.6652225,2.9492145
1.65686,2.965839
1.6756754,2.979628
1.6857833,2.9445488
1.6485249,2.9579744
1.6659021,2.9577665
1.6850262,2.9646723
1.6600474,2.9421394
1.6916965,2.9848986
1.6629585,2.9235146
1.6734709,2.9510043
1.6739181,2.982631
1.6738485,2.9813826
1.6733291,2.9579594
1.6822311,2.9912846
1.6713678,2.9652297
1.6605009,2.9383447
1.673677,2.938239
1.6772554,2.9487226
1.6638609,2.9439647
1.6790985,2.9854064
1.6635348,2.9425676
1.6593937,2.8973706
1.6738684,2.9595525
1.6652654,2.947154
