A,B
1.735325,2.8371398
1.8101449,3.039928
1.7980838,2.9658122
1.810214,2.9188962
1.7940019,2.8945642
1.8969252,3.0100536
1.80103,2.8882961
1.7775029,2.8563259
1.7666991,2.895556
1.8009,2.8876219
1.812552,2.9635181
1.7991219,2.8789737
1.7752211,2.8568697
1.8518378,2.906362
1.765916,2.8393419
1.7820332,2.867516
1.816449,2.9313636
1.8172249,2.9919116
1.769568,2.91188
1.858153,3.003706
1.8081743,2.91574
1.8317728,2.964114
1.806793,2.8465977
1.7683607,2.8729599
1.8631461,2.9889321
1.8388281,2.936984
1.822656,2.93238
1.7827319,2.9750042
1.8097558,2.89994
1.826178,3.02566
1.7913221,2.9561217
1.818936,2.9918401
1.8071547,2.9201677
1.813547,2.905892
1.8606321,2.9806
1.7474978,2.8859797
1.721575,2.885562
1.796455,2.954142
1.7923219,2.9295518
1.8302559,2.9772837
1.8360598,2.9684796
1.827076,3.0082839
1.774221,2.890684
1.7450113,2.9311898
1.8034848,2.99176
1.7866241,2.8669477
1.8127726,2.926056
1.8039646,2.887096
1.7588078,2.9194217
1.784527,2.8846939
1.8060101,2.8801014
1.8188797,2.9472718
1.7568051,2.83637
1.759451,2.874378
1.8396901,2.9299197
1.849533,3.0301137
1.7812891,2.910438
1.7862389,2.8421657
1.8737909,3.029734
1.7829869,2.8737657
1.8272469,2.9044
1.816574,2.887878
1.7591189,2.8909836
1.811909,2.843126
1.8251281,2.8391259
1.8501757,3.0238996
1.7872043,2.825786
1.7997218,2.927002
1.8644459,2.9498055
1.7636911,2.8219981
1.7822231,2.84549
1.8303549,2.970376
1.888692,3.0193136
1.792482,2.9881039
1.802084,2.9666598
1.8442181,3.071436
1.7829058,2.9120703
1.7797551,2.9114077
1.789867,2.8772798
1.7929338,2.8942235
1.826341,2.9218557
1.8045921,2.8896942
1.8039881,2.957408
1.8730639,3.078918
1.7734988,2.8426824
1.7616347,2.9031596
1.8150558,2.9796183
1.7812897,2.9651935
1.8034068,2.8915236
1.793193,2.9534938
1.827235,2.9844818
1.77835,2.917116
1.7832104,2.8921282
1.8210042,2.8965158
1.7859437,2.9055636
1.7799271,2.9458077
1.8570609,2.9723477
1.8116078,2.922248
1.7327662,2.8420398
1.8090469,2.9064915
1.8012141,2.89332
1.7638879,2.9601617
1.7694367,2.9219782
1.8232942,2.9942179
1.8097949,2.95697
1.8166519,2.8655496
1.8516741,3.007168
1.7929312,2.82823
1.785357,2.8976457
1.8253529,2.9602315
1.780207,2.9458401
1.830401,2.9908378
1.8047692,2.93538
1.733782,2.795684
1.9371473,3.1293743
1.7469679,2.792428
1.8006411,2.9397178
1.7746129,2.785214
1.829885,2.9369903
1.8201629,3.002882
1.8197148,2.9391155
1.811868,2.9411173
1.788241,3.00144
1.8763,2.990664
1.7964959,2.8793736
1.796567,2.8998618
1.791592,2.884224
1.8449959,2.970136
1.8031996,2.9471757
1.789175,2.892602
1.7975,2.9042096
1.781658,2.884214
1.843452,2.9850118
1.829632,2.9703598
1.7911693,2.926628
1.8438723,2.9627984
1.849909,2.9139037
1.7675619,2.907726
1.8057891,2.97551
1.7687689,2.8037257
1.8186271,2.9325895
1.7936711,2.870142
1.8173782,2.8663664
1.7491391,2.8936539
1.7866532,2.903198
1.7564722,2.8279736
1.7873456,2.880784
1.7993289,2.865068
1.83511,2.89817
1.830429,2.9717896
